UserID ChannelID diff(StartTime(s)) Duration(ms) FS=1 LS=1
176203 112 0.000       2253.501    1 1 	   
218421 37  0.020       446.303     1 1 	   
202389 50  0.033       813.963     1 1 	   
14851  112 0.000       9.472       1 1 	   
141910 109 0.014       168.836     1 1 	   
29211  62  0.000       30.939      1 1 	   
145859 9   0.003       6.307       1 1 	   
123413 52  0.013       67.231      1 1 	   
114032 5   0.000       152.185     1 1 	   
86646  54  0.044       36.860      1 1 	   
63123  46  0.030       11.081      1 1 	   
35769  36  0.010       77.522      1 1 	   
68928  77  0.040       1319.593    1 1 	   
38991  62  0.010       40377.602   1 1 	   
97512  78  0.070       22.198      1 1 	   
106343 12  0.066       2163.938    1 1 	   
93265  37  0.004       4500.294    0 1 	   
203559 15  0.013       5.246       1 1 	   
202662 7   0.003       5.716       1 1 	   
201311 50  0.020       10.933      1 1 	   
130462 95  0.004       217.559     1 1 	   
78899  19  0.010       26.661      1 1 	   
42228  17  0.050       8320.037    1 1 	   
106203 51  0.003       15.273      1 1 	   
90734  29  0.000       58.795      0 1 	   
158504 112 0.033       8.981       1 1 	   
218762 5   0.064       87.914      1 1 	   
115389 52  0.026       28313.488   1 1 	   
126716 62  0.017       87.990      1 1 	   
76531  89  0.000       22.216      1 1 	   
181521 18  0.030       6.076       1 1 	   
173931 63  0.000       5473.267    1 1 	   
22233  90  0.067       5.687       1 1 	   
60101  66  0.013       15.723      0 1 	   
35258  3   0.010       1689.003    1 1 	   
190873 9   0.067       12.240      1 1 	   
139262 3   0.016       8.892       1 1 	   
54784  4   0.050       18.085      1 1 	   
3409   108 0.004       11.291      1 1 	   
214058 53  0.060       5.041       1 1 	   
153331 3   0.030       1097.582    1 1 	   
79872  51  0.040       1871.571    1 1 	   
115658 94  0.000       14.825      1 1 	   
201517 171 0.046       1128.039    1 0 	   
160592 95  0.007       1898.082    1 1 	   
66867  116 0.003       8.678       1 1 	   
186521 150 0.004       8.768       1 1 	   
53774  109 0.010       119.268     1 1 	   
160494 37  0.010       10.550      1 1 	   
111642 4   0.030       283.990     1 1 	   
154927 36  0.020       806.664     1 1 	   
17301  171 0.003       20.117      1 0 	   
19820  112 0.047       388.840     1 1 	   
14865  113 0.036       31.815      1 1 	   
173394 58  0.017       6.855       1 1 	   
79110  4   0.073       35.365      1 1 	   
189196 48  0.004       93.496      1 1 	   
133120 68  0.016       14.943      0 1 	   
156181 50  0.010       20.259      1 1 	   
182768 65  0.014       7.410       1 1 	   
